seed,bad_source_gamma,method,normalized_performance,target_performance,oracle_performance,bad_source_weight,actual_bad_source_gamma,bad_source_mixing_coefficient,bad_source_nominal_transfer_performance,bad_source_local_gamma_max,bad_source_local_gamma_mean,penalty_type,p_norm,robust_q,sync_period,stepsize,source_index,source_type,prescribed_source_gamma,actual_source_gamma,local_gamma_max,local_gamma_mean,uniform_weight,similarity_weight
8,1.2,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,3.0,bad,1.2,1.2,1.2,1.1447700517406052,0.25,0.04347853497099396
8,1.5,Uniform,0.9857844832704756,15.46467163334094,15.687680112426566,0.25,1.5000000000000002,0.7499999999999999,13.491624546173936,1.5000000000000002,1.4086489117955456,state_action_local,1,inf,1,0.01,,,,,,,,
8,1.5,Similarity-aware,0.9930220137978543,15.578211697058377,15.687680112426566,0.03508794808610418,1.5000000000000002,0.7499999999999999,13.491624546173936,1.5000000000000002,1.4086489117955456,state_action_local,1,inf,1,0.01,,,,,,,,
8,1.5,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,0.0,good,0.1,0.1000000000000001,0.1000000000000001,0.09601163598404727,0.25,0.5263143090279532
8,1.5,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,1.0,good,0.2,0.20000000000000004,0.20000000000000004,0.18691275055311482,0.25,0.26315847029317024
8,1.5,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,2.0,good,0.3,0.3,0.3,0.2841500784606725,0.25,0.17543927259277253
8,1.5,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,3.0,bad,1.5,1.5000000000000002,1.5000000000000002,1.4086489117955456,0.25,0.03508794808610418
8,1.8,Uniform,0.988529229368948,15.507730332123606,15.687680112426566,0.25,1.8,0.8999999999999998,13.229694492394833,1.8,1.7471428042642416,state_action_local,1,inf,1,0.01,,,,,,,,
8,1.8,Similarity-aware,0.9930220137978543,15.578211697058377,15.687680112426566,0.029411960783929263,1.8,0.8999999999999998,13.229694492394833,1.8,1.7471428042642416,state_action_local,1,inf,1,0.01,,,,,,,,
8,1.8,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,0.0,good,0.1,0.1000000000000001,0.1000000000000001,0.09601163598404727,0.25,0.5294102941273933
8,1.8,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,1.0,good,0.2,0.20000000000000004,0.20000000000000004,0.18691275055311482,0.25,0.2647064705828143
8,1.8,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,2.0,good,0.3,0.3,0.3,0.2841500784606725,0.25,0.1764712745058632
8,1.8,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,3.0,bad,1.8,1.8,1.8,1.7471428042642416,0.25,0.029411960783929263
9,0.9,Uniform,0.986119787098698,16.238123113270692,16.46668419568531,0.25,0.9,0.4499999999999999,15.98115976631012,0.9,0.8509148808839548,state_action_local,1,inf,1,0.01,,,,,,,,
9,0.9,Similarity-aware,0.986119787098698,16.238123113270692,16.46668419568531,0.057143197277965664,0.9,0.4499999999999999,15.98115976631012,0.9,0.8509148808839548,state_action_local,1,inf,1,0.01,,,,,,,,
9,0.9,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,0.0,good,0.1,0.1000000000000001,0.1000000000000001,0.09501833715412548,0.25,0.5142842040916229
9,0.9,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,1.0,good,0.2,0.2,0.2,0.1901774722581207,0.25,0.25714338774989315
9,0.9,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,2.0,good,0.3,0.29999999999999993,0.29999999999999993,0.2823563887714368,0.25,0.17142921088051835
9,0.9,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,3.0,bad,0.9,0.9,0.9,0.8509148808839548,0.25,0.057143197277965664
9,1.2,Uniform,0.986119787098698,16.238123113270692,16.46668419568531,0.25,1.2,0.5999999999999999,15.745700409317829,1.2,1.1149428166636592,state_action_local,1,inf,1,0.01,,,,,,,,
9,1.2,Similarity-aware,0.986119787098698,16.238123113270692,16.46668419568531,0.04347853497099396,1.2,0.5999999999999999,15.745700409317829,1.2,1.1149428166636592,state_action_local,1,inf,1,0.01,,,,,,,,
9,1.2,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,0.0,good,0.1,0.1000000000000001,0.1000000000000001,0.09501833715412548,0.25,0.5217376370609066
9,1.2,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,1.0,good,0.2,0.2,0.2,0.1901774722581207,0.25,0.26087012286802425
9,1.2,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,2.0,good,0.3,0.29999999999999993,0.29999999999999993,0.2823563887714368,0.25,0.1739137051000754
9,1.2,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,3.0,bad,1.2,1.2,1.2,1.1149428166636592,0.25,0.04347853497099396
9,1.5,Uniform,0.9851156797376553,16.22158879445784,16.46668419568531,0.25,1.5,0.7499999999999999,15.596659513605454,1.5,1.418846501009618,state_action_local,1,inf,1,0.01,,,,,,,,
